format,count,
http://publications.europa.eu/resource/authority/file-type/CSV,16745,1
http://publications.europa.eu/resource/authority/file-type/PDF,4969,1
http://publications.europa.eu/resource/authority/file-type/XML,4117,1
http://publications.europa.eu/resource/authority/file-type/JSON,3181,1
http://publications.europa.eu/resource/authority/file-type/HTML,3059,1
http://publications.europa.eu/resource/authority/file-type/XLSX,2806,0
http://publications.europa.eu/resource/authority/file-type/XLS,2133,0
http://publications.europa.eu/resource/authority/file-type/GML,1392,1
http://publications.europa.eu/resource/authority/file-type/GEOJSON,843,1
http://publications.europa.eu/resource/authority/file-type/SHP,656,1
http://publications.europa.eu/resource/authority/file-type/KML,634,1
http://publications.europa.eu/resource/authority/file-type/ZIP,620,1
http://publications.europa.eu/resource/authority/file-type/WMS_SRVC,509,1
http://publications.europa.eu/resource/authority/file-type/WFS_SRVC,353,1
http://publications.europa.eu/resource/authority/file-type/ATOM,329,1
http://publications.europa.eu/resource/authority/file-type/DOC,252,0
http://publications.europa.eu/resource/authority/file-type/TXT,227,1
http://publications.europa.eu/resource/authority/file-type/KMZ,195,1
http://publications.europa.eu/resource/authority/file-type/WMS,193,1
http://publications.europa.eu/resource/authority/file-type/TIFF,192,0
http://publications.europa.eu/resource/authority/file-type/WFS,179,1
http://publications.europa.eu/resource/authority/file-type/JPEG,174,1
http://publications.europa.eu/resource/authority/file-type/PNG,117,1
http://publications.europa.eu/resource/authority/file-type/REST,51,1
http://publications.europa.eu/resource/authority/file-type/RDF,45,1
http://publications.europa.eu/resource/authority/file-type/RSS,44,1
http://publications.europa.eu/mdr/resource/authority/file-type/GZIP,39,1
https://daten.berlin.de/schema/dist-format/wfs,32,1
http://publications.europa.eu/resource/authority/file-type/ODS,23,1
http://publications.europa.eu/resource/authority/file-type/RTF,18,0
http://publications.europa.eu/resource/authority/file-type/DOCX,15,0
http://publications.europa.eu/resource/authority/file-type/DBF,14,0
http://publications.europa.eu/resource/authority/file-type/WCS,10,1
http://publications.europa.eu/resource/authority/file-type/GeoJSON,9,1
http://publications.europa.eu/resource/authority/file-type/GZIP,5,1
http://publications.europa.eu/resource/authority/file-type/MDB,2,0
http://publications.europa.eu/resource/authority/file-type/ICS,2,1
http://publications.europa.eu/resource/authority/file-type/WMTS,1,1
http://publications.europa.eu/resource/authority/file-type/SVG,1,1
http://publications.europa.eu/resource/authority/file-type/WMSC,1,NULL
http://publications.europa.eu/resource/authority/file-type/TSV,1,1
http://publications.europa.eu/resource/authority/file-type/GDB,1,0
http://publications.europa.eu/resource/authority/file-type/ECW,1,0
